ind_0,proxy_conf_0,pred_prob_0,ind1,proxy_conf_1,pred_prob_1
"1,1,6,5,5,3,41,0,3,30,1,86",0.513,1,"1,1,6,0,5,3,41,0,3,30,1,86",0.564,1
"0,3,7,2,10,1,32,46,6,3,10,45",0.872,0,"0,3,7,2,10,1,32,37,6,3,10,45",0.89,0
"0,4,3,2,7,1,9,12,12,33,41,82",0.83,1,"0,4,3,2,7,1,9,22,12,33,41,82",0.873,1
"0,3,3,0,3,3,38,58,6,9,38,53",0.815,1,"0,3,3,0,3,3,38,58,10,9,38,53",0.824,1
"0,1,2,4,11,0,21,31,8,33,43,15",0.28,1,"0,1,2,4,11,0,39,31,8,33,43,15",0.347,1
"0,4,2,4,1,0,30,45,6,36,20,68",0.912,1,"0,4,2,4,1,0,30,45,6,36,42,68",0.826,1
"1,1,5,0,9,3,10,41,13,25,3,65",0.946,1,"1,1,5,0,9,3,10,32,13,25,3,65",0.946,1
"0,2,0,2,10,5,36,9,8,37,14,55",0.939,1,"0,2,0,2,10,0,36,9,8,37,14,55",0.9,1
"0,4,5,3,5,2,37,39,15,36,42,68",0.881,1,"0,1,5,3,5,2,37,39,15,36,42,68",0.807,1
"1,4,3,4,12,3,13,56,4,34,38,50",0.827,1,"1,4,3,4,12,5,13,56,4,34,38,50",0.903,1
"1,1,6,0,2,3,40,48,4,28,11,4",0.585,1,"1,1,6,0,2,0,40,48,4,28,11,4",0.516,1
"1,4,2,2,0,2,22,40,8,41,36,78",0.941,1,"1,4,2,2,0,2,22,40,8,41,36,78",0.941,1
"0,4,0,0,13,5,0,18,3,10,16,13",0.886,1,"0,4,7,0,13,5,0,18,3,10,16,13",0.882,1
"1,2,3,2,11,4,17,62,3,25,29,52",0.851,1,"1,2,3,2,11,4,17,62,3,23,29,52",0.854,1
"1,3,5,6,10,2,41,15,11,11,18,92",0.668,1,"1,3,5,6,10,2,41,15,11,11,20,92",0.66,1
"1,0,0,2,3,1,6,38,13,16,38,88",0.838,1,"1,0,0,2,3,1,6,38,8,16,38,88",0.822,1
"0,1,5,4,10,2,7,56,1,21,29,35",0.367,1,"0,1,5,4,10,2,7,56,1,21,29,35",0.367,1
"0,4,5,6,5,3,37,10,12,1,4,63",0.873,0,"0,4,5,6,5,3,37,10,12,1,4,63",0.873,0
"1,2,2,2,12,4,41,7,3,19,11,45",0.931,1,"1,2,2,2,12,4,41,7,3,0,11,45",0.944,0
"1,3,2,5,12,5,27,66,14,10,9,54",0.947,0,"1,3,5,5,12,5,27,66,14,10,9,54",0.946,0
"0,4,5,2,5,3,16,61,13,25,12,28",0.74,1,"0,4,5,2,5,3,16,61,13,25,12,28",0.74,1
"0,1,3,5,0,5,32,74,4,41,40,3",0.512,1,"0,1,3,5,0,5,32,74,4,41,40,3",0.512,1
"1,4,2,6,2,1,30,62,6,32,17,79",0.918,1,"1,4,2,6,2,1,30,62,3,32,17,79",0.913,1
"0,1,3,2,9,4,5,22,15,0,22,68",0.895,0,"0,1,2,2,9,4,5,22,15,0,22,68",0.895,0
"1,1,4,0,11,1,40,23,12,16,36,71",0.825,1,"1,1,4,0,0,1,40,23,12,16,36,71",0.871,1
"1,4,2,3,0,5,22,41,14,27,4,2",0.903,1,"1,4,2,3,5,5,22,41,14,27,4,2",0.901,1
"1,4,4,5,2,4,20,46,0,23,1,40",0.949,1,"1,4,4,5,7,4,20,46,0,23,1,40",0.95,1
"0,1,0,5,5,5,30,12,8,0,32,7",0.775,0,"0,1,0,5,6,5,30,12,8,0,32,7",0.771,0
"0,4,7,5,10,0,7,57,3,19,35,98",0.471,1,"0,4,7,5,13,0,7,57,3,19,35,98",0.462,1
"0,2,1,3,7,1,10,47,13,35,24,39",0.64,1,"0,2,1,3,7,2,10,47,13,35,24,39",0.732,1
"1,2,6,4,5,5,28,15,2,22,38,38",0.903,1,"1,2,6,4,5,5,28,15,2,22,38,26",0.857,1
"0,2,3,2,1,1,3,7,2,1,1,4",0.431,0,"0,4,3,2,1,1,3,7,2,1,1,4",0.684,0
"1,2,3,5,7,5,20,29,14,18,13,47",0.942,1,"1,2,3,5,7,5,39,29,14,18,13,47",0.943,1
"1,0,7,3,1,3,16,21,11,25,2,91",0.884,1,"1,0,5,3,1,3,16,21,11,25,2,91",0.887,1
"1,3,6,4,9,3,29,39,10,16,7,86",0.948,1,"1,3,6,4,9,3,29,64,10,16,7,86",0.95,1
"0,3,4,0,13,2,22,44,4,34,26,61",0.904,1,"0,3,3,0,13,2,22,44,4,34,26,61",0.904,1
"0,1,2,2,0,3,12,7,13,9,33,31",0.89,1,"0,1,2,2,0,3,12,7,7,9,33,31",0.864,1
"0,2,0,6,0,5,8,6,15,34,19,31",0.837,1,"0,2,0,6,0,4,8,6,15,34,19,31",0.724,1
"1,2,4,5,6,1,23,68,9,34,5,5",0.289,1,"1,2,4,5,6,1,23,68,14,34,5,5",0.286,1
"1,1,0,3,8,4,19,48,14,4,37,54",0.915,1,"1,1,0,3,8,4,19,48,14,4,37,54",0.915,1
"0,2,4,4,2,2,4,50,1,28,2,44",0.627,1,"0,2,4,4,2,4,4,50,1,28,2,44",0.837,1
"1,2,0,1,4,1,2,9,1,39,41,15",0.541,1,"1,2,0,1,4,1,2,9,1,39,41,15",0.541,1
"0,0,0,2,12,4,25,1,12,22,32,10",0.759,1,"1,0,0,2,12,4,25,1,12,22,32,10",0.774,1
"0,2,6,2,7,5,4,51,13,0,13,76",0.946,0,"0,2,6,2,7,5,4,51,13,36,13,76",0.944,1
"0,4,5,2,2,2,12,65,7,17,8,51",0.861,1,"0,4,5,2,2,2,12,65,7,17,8,61",0.911,1
"0,4,1,4,3,0,13,64,6,27,15,15",0.224,1,"0,4,1,4,3,4,13,64,6,27,15,15",0.57,1
"1,4,0,6,9,1,21,9,9,21,28,73",0.593,1,"1,4,0,6,9,1,21,74,9,21,28,73",0.71,1
"1,0,0,2,10,5,39,47,13,20,9,6",0.779,1,"1,0,0,2,10,5,39,47,13,20,9,6",0.779,1
"0,3,4,1,0,3,5,47,6,17,36,79",0.887,1,"0,3,4,1,9,3,5,47,6,17,36,79",0.864,1
"0,3,0,2,4,3,18,20,4,6,10,8",0.668,0,"0,3,0,2,9,3,18,20,4,6,10,8",0.651,0
"1,1,5,5,3,5,0,26,2,22,31,95",0.678,1,"1,1,5,5,3,5,0,73,2,22,31,95",0.901,1
"0,4,5,6,13,3,11,2,0,2,38,54",0.549,0,"0,4,5,6,1,3,11,2,0,2,38,54",0.58,1
"0,0,1,5,11,1,25,18,3,36,0,45",0.666,1,"0,0,1,5,11,1,25,18,3,36,13,45",0.486,1
"0,4,0,6,12,1,26,65,7,11,17,2",0.167,0,"0,3,0,6,12,1,26,65,7,11,17,2",0.128,0
