ind_0,proxy_conf_0,pred_prob_0,ind1,proxy_conf_1,pred_prob_1
"0,4,1,5,12,0,41,53,12,37,38,8",0.108,1,"0,4,1,5,12,0,41,53,12,36,38,8",0.107,1
"3,1,0,2,3,4,17,3,14,9,13,89",0.403,1,"3,1,0,2,3,0,17,3,14,9,13,89",0.302,1
"4,0,0,3,11,2,35,46,12,20,21,13",0.149,1,"4,0,0,2,11,2,35,46,12,20,21,13",0.115,1
"1,0,2,3,1,1,37,32,12,40,12,25",0.211,1,"1,0,2,3,1,1,37,53,12,40,12,25",0.119,1
"5,1,7,1,2,3,39,45,0,22,23,72",0.038,1,"5,4,7,1,2,3,39,45,0,22,23,72",0.045,1
"2,4,4,6,7,5,41,42,6,40,2,79",0.114,1,"2,4,4,6,7,2,41,42,6,40,2,79",0.102,1
"2,2,5,4,3,5,21,58,9,36,37,23",0.133,1,"2,2,1,4,3,5,21,58,9,36,37,23",0.133,1
"3,0,6,0,2,2,41,69,8,29,20,46",0.029,1,"3,0,6,0,2,2,14,69,8,29,20,46",0.029,1
"6,4,3,5,9,2,34,27,3,35,17,55",0.173,1,"6,4,3,5,9,2,34,27,3,35,17,55",0.173,1
"6,1,3,4,12,5,31,27,5,8,29,64",0.553,1,"6,1,3,5,12,5,31,27,5,8,29,64",0.554,1
"0,0,2,1,9,1,11,69,5,14,14,78",0.033,1,"0,0,2,1,9,1,11,69,5,14,14,78",0.033,1
"8,4,4,2,3,1,16,61,0,6,20,31",0.181,1,"8,1,4,2,3,1,16,61,0,6,20,31",0.17,1
"0,2,6,1,4,5,3,40,10,36,0,64",0.137,1,"0,2,6,1,4,5,10,40,10,36,0,64",0.123,1
"5,3,7,2,2,4,5,40,2,34,42,39",0.298,1,"5,3,7,2,2,4,5,70,2,34,42,39",0.064,1
"5,3,7,6,13,1,41,26,15,40,17,43",0.302,1,"5,3,7,6,13,1,41,1,15,40,17,43",0.406,1
"3,1,5,4,3,5,1,28,1,18,3,36",0.41,1,"3,1,5,4,5,5,1,28,1,18,3,36",0.421,1
"3,1,6,6,8,3,36,19,13,19,22,41",0.191,1,"3,1,6,6,8,3,36,19,13,2,22,41",0.165,0
