ind_0,proxy_conf_0,pred_prob_0,ind1,proxy_conf_1,pred_prob_1
"3,1,0,5,7,3,17,28,10,20,33,54",0.632,1,"4,1,0,5,7,3,17,28,10,20,33,54",0.641,1
"2,0,5,0,0,3,0,20,12,38,25,78",0.929,1,"2,0,5,3,0,3,0,20,12,38,25,78",0.916,1
"6,0,5,5,9,0,21,20,8,30,16,11",0.816,1,"9,0,5,5,9,0,21,20,8,30,16,11",0.895,1
"4,0,6,6,8,3,7,46,1,32,17,70",0.824,1,"4,0,6,6,12,3,7,46,1,32,17,70",0.823,1
"1,0,0,3,5,5,14,35,12,30,9,43",0.851,1,"1,0,0,3,1,5,14,35,12,30,9,43",0.847,1
"4,1,5,2,4,3,17,24,7,9,26,66",0.633,1,"2,1,5,2,4,3,17,24,7,9,26,66",0.645,1
"1,1,5,6,5,3,26,36,4,9,26,49",0.621,0,"0,1,5,6,5,3,26,36,4,9,26,49",0.626,0
"0,0,7,4,3,1,23,17,15,40,41,95",0.471,1,"0,0,7,4,3,1,23,17,8,40,41,95",0.42,1
"0,0,3,2,8,2,20,33,0,39,18,32",0.472,1,"0,0,3,2,8,2,20,33,0,39,18,9",0.504,1
"8,0,1,5,1,5,26,47,11,2,39,80",0.584,0,"8,0,1,5,1,5,7,47,11,2,39,80",0.761,0
"0,0,2,4,5,4,11,23,1,2,2,65",0.74,0,"0,1,2,4,5,4,11,23,1,2,2,65",0.912,0
"9,1,7,5,11,1,22,17,10,21,14,80",0.751,1,"9,1,7,5,11,1,22,17,10,21,14,80",0.751,1
"1,1,5,1,1,5,22,42,9,28,1,31",0.923,1,"1,1,5,1,1,5,22,42,9,28,7,31",0.915,1
"0,1,2,3,13,4,26,45,7,40,12,13",0.657,1,"0,1,4,3,13,4,26,45,7,40,12,13",0.654,1
"9,0,7,1,7,1,26,7,5,22,42,55",0.574,1,"9,0,7,1,7,2,26,7,5,22,42,55",0.73,1
"4,0,4,6,2,2,1,48,14,26,6,88",0.912,1,"4,0,4,6,2,2,1,48,14,26,6,88",0.912,1
"9,0,0,6,9,2,24,6,12,17,9,9",0.918,1,"9,0,0,6,1,2,24,6,12,17,9,9",0.915,1
"1,0,5,5,12,3,19,14,5,10,20,85",0.411,1,"1,0,5,5,6,3,19,14,5,10,20,85",0.418,1
"4,0,1,3,3,4,8,49,9,15,38,32",0.642,1,"4,0,1,3,3,4,8,49,15,15,38,32",0.706,1
"1,0,3,3,10,5,33,48,6,25,43,4",0.621,1,"1,0,3,3,12,5,33,48,6,25,43,4",0.62,1
"1,0,6,0,13,1,12,7,1,5,30,3",0.507,0,"1,0,6,0,13,1,12,7,1,5,30,3",0.507,0
"2,1,1,2,9,3,25,37,6,16,2,70",0.927,1,"2,1,1,2,9,3,25,37,6,16,2,70",0.927,1
"5,1,7,5,10,5,34,36,14,33,13,46",0.891,1,"6,1,7,5,10,5,34,36,14,33,13,46",0.902,1
"4,1,7,4,13,2,15,0,13,37,26,18",0.754,1,"4,1,7,2,13,2,15,0,13,37,26,18",0.725,1
"8,1,3,5,6,4,3,37,10,14,7,64",0.907,1,"8,1,3,5,6,4,3,6,10,14,7,64",0.909,1
"8,1,6,4,3,5,6,47,5,8,26,51",0.65,1,"8,1,6,4,3,5,6,47,5,8,26,4",0.567,0
"5,0,7,3,10,4,22,12,10,41,32,38",0.683,1,"5,0,7,3,10,4,22,12,10,41,37,38",0.676,1
